Table S2. Genes that responded to Pou5f1 suppression in ZHBTc4 ES cells,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Features of OCT4/NANOG binding site,,,,,,,,,,,,
Z00002314-1,Esrrb,18.69,-1.011,10.256,0,197.234,0,0,679,0,0,1,6,7.4882,-0.26,-0.547728066,0.0649,1,1,Esrrb,"estrogen related receptor, beta"
Z00008130-1,Plekha4,14.37,-0.986,9.682,0,233.366,0,0,0,0,0,0,0,0,0,-0.522951792,1,0,0,Plekha4,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 4"
Z00021695-1,Slc27a2,14.31,-0.979,9.527,0,121.184,0,0,31545,0,0,2,0,1.1815,0,0,0.5598,0,0,Slc27a2,"solute carrier family 27 (fatty acid transporter), member 2"
Z00034453-1,Pou5f1,0.87,-0.978,9.506,0,26.224,0,0,-1063,0,0,2,29,17.568,0,-0.71752253,0.0005,2,1,Pou5f1,"POU domain, class 5, transcription factor 1"
Z00002627-1,Dusp27,8.46,-0.971,9.354,0,216.146,0,0,2739,0,0,2,4,5.6177,0,0,0.1139,1,0,Dusp27,dual specificity phosphatase 27 (putative)
Z00019929-1,Nid2,15.32,-0.964,9.204,0,185.619,0,0,26021,0,0,2,2,2.6341,-0.452,-0.590398797,0.313,0,0,Nid2,nidogen 2
Z00009785-1,Zfp296,4.38,-0.951,8.933,0,159.009,0,0,0,0,0,0,0,0,0,-0.341206573,1,0,0,Zfp296,zinc finger protein 296
Z00024576-1,Aire,8.88,-0.94,8.709,0,186.459,0,0,1758,0,0,2,1,3.9527,0,-0.519461996,0.1524,1,1,Aire,autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)
Z00009042-1,Fbxo15,25.03,-0.939,8.689,0,70.305,0,0,-22841,0,0,7,15,7.7464,-0.328,-0.337394178,0.0842,1,0,Fbxo15,F-box protein 15
Z00002955-1,2410007B07Rik,15.55,-0.936,8.629,0,120.052,0,0,0,0,0,0,0,0,-0.945,-0.776203165,1,0,0,2410007B07Rik,RIKEN cDNA 2410007B07 gene
Z00004978-1,Otx2,19.43,-0.93,8.511,0,241.749,0,0,-279,0,0,1,18,12.9177,-0.817,-1.344538841,0.0093,1,1,Otx2,orthodenticle homolog 2 (Drosophila)
Z00017820-1,Zranb1,11.66,-0.93,8.511,0,176.599,0,0,11923,0,1,2,2,3.1482,0,0.223424749,0.2038,2,0,Zranb1,"zinc finger, RAN-binding domain containing 1"
Z00025598-1,Gsta3,12.82,-0.923,8.375,0,217.139,0,0,13680,0,1,1,5,3.7888,0,0,0.2299,0,0,Gsta3,"glutathione S-transferase, alpha 3"
Z00036262-1,Lefty1,14.3,-0.915,8.222,0,242.004,0,0,-9986,0,0,8,15,9.5747,-0.353,-0.826384067,0.0285,1,0,Lefty1,left right determination factor 1
Z00030941-1,Socs2,11.89,-0.913,8.184,0,167.043,0,0,-38687,0,0,7,4,4.4008,-0.681,-0.344025493,0.133,1,0,Socs2,suppressor of cytokine signaling 2
Z00034201-1,E030010N08Rik,5.03,-0.905,8.035,0,79.279,0,0,31162,0,0,7,3,4.2912,0,0,0.1392,1,0,E030010N08Rik,RIKEN cDNA E030010N08 gene
Z00002490-1,Inhbb,16.2,-0.896,7.87,0,92.335,0,0,115799,0,0,2,12,3.892,-0.648,-0.382183423,0.222,2,0,Inhbb,inhibin beta-B
Z00021532-1,Pnp,17.61,-0.896,7.87,0,157.436,0,0,-5912,0,1,0,7,4.2259,-0.29,-0.636574706,0.1946,1,0,Pnp,purine-nucleoside phosphorylase
Z00034256-1,Gm397,21.02,-0.894,7.834,0,98.117,0,0,0,0,0,0,0,0,0,0,1,0,1,Gm397,"gene model 397, (NCBI)"
Z00004728-1,Cxxc6,32.87,-0.879,7.568,0,85.444,0,0,-54523,0,0,4,3,3.1205,0,-0.636512919,0.2988,0,0,Cxxc6,CXXC finger 6
Z00030085-1,C330046G13Rik,9.23,-0.874,7.481,0,128.545,0,0,0,0,0,0,0,0,0,0,1,0,0,C330046G13Rik,RIKEN cDNA C330046G13 gene
Z00018190-1,Hsf2bp,25.17,-0.871,7.43,0,149.44,0,0,7204,0,0,0,2,1.8636,-0.477,-0.871182629,0.396,0,1,Hsf2bp,heat shock transcription factor 2 binding protein
Z00010419-1,Rab27a,32.28,-0.859,7.227,0,200.355,0,0,6785,0,0,4,8,7.0086,0,-0.331246393,0.0964,1,0,Rab27a,"RAB27A, member RAS oncogene family"
Z00055615-1,Prps1,33.28,-0.855,7.161,0,142.872,0,0,1548,0,0,3,0,2.9946,-0.26,-0.466988344,0.3058,0,0,Prps1,phosphoribosyl pyrophosphate synthetase 1
Z00013472-1,Gdf3,22.13,-0.854,7.144,0,172.438,0,0,1514,0,0,4,0,3.6145,-0.402,-0.706561787,0.2421,0,0,Gdf3,growth differentiation factor 3
Z00027728-1,Tdgf1,7.7,-0.853,7.128,0,169.857,0,0,-1236,0,0,0,11,8.0235,-0.696,-0.857567629,0.0519,1,0,Tdgf1,teratocarcinoma-derived growth factor
Z00024013-1,Rcor2,17.93,-0.849,7.063,0,48.139,0,0,-5634,0,1,6,26,12.9719,-0.379,-0.33901661,0.0093,1,1,Rcor2,REST corepressor 2
Z00043638-1,LOC669384,9.97,-0.843,6.966,0,84.115,0,0,0,0,0,0,0,0,0,0,1,0,0,LOC669384,similar to gonadotropin-regulated long chain acyl-CoA synthetase
Z00015779-1,Slc6a15,7.95,-0.842,6.95,0,136.083,0,0,1357,1,0,3,2,4.7777,0,-0.549011492,0.1252,1,0,Slc6a15,"solute carrier family 6 (neurotransmitter transporter), member 15"
Z00027576-1,Zfp532,15.52,-0.831,6.776,0,163.707,0,0,-25,0,0,0,4,4.5026,-0.591,-0.30432799,0.1775,1,0,Zfp532,zinc finger protein 532
Z00070258-1,Klf2,5.64,-0.828,6.729,0,127.545,0,0,-2785,0,0,2,3,5.0313,0,-0.482658671,0.1196,1,1,Klf2,Kruppel-like factor 2 (lung)
Z00029161-1,A830035A12Rik,21.3,-0.823,6.652,0,71.867,0,0,0,0,0,0,0,0,0,0,1,0,0,A830035A12Rik,RIKEN cDNA A830035A12 gene
Z00023644-1,Taf15,0.85,-0.816,6.546,1,4.808,0.00001,0.00003,-2100,0,0,2,0,2.1829,0,0.224562176,0.3688,0,0,Taf15,"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor"
Z00001247-1,Spn,11.03,-0.814,6.516,0,72.215,0,0,-2200,0,0,0,2,2.4474,0,0,0.2925,0,0,Spn,sialophorin
Z00025704-1,Aoah,11.36,-0.811,6.471,0,165.085,0,0,191411,0,0,1,4,1.879,0,-0.416802354,0.3854,0,0,Aoah,acyloxyacyl hydrolase
Z00011249-1,Sgk,21.04,-0.81,6.456,0,134.4,0,0,-3332,0,0,7,13,11.3744,-0.497,0,0.0203,1,0,Sgk,serum/glucocorticoid regulated kinase
Z00010165-1,2500002B13Rik,7.99,-0.807,6.412,0,109.479,0,0,0,0,0,0,0,0,0,-0.601077535,1,0,0,2500002B13Rik,RIKEN cDNA 2500002B13 gene
Z00025540-1,Nphs1,13.74,-0.806,6.397,0,139.739,0,0,4976,0,0,7,2,5.938,-0.492,-0.484284173,0.1106,1,0,Nphs1,"nephrosis 1 homolog, nephrin (human)"
Z00035459-1,C77370,8.87,-0.801,6.324,0,134.072,0,0,-59417,0,0,1,3,2.1665,0,0,0.3281,0,0,C77370,expressed sequence C77370
Z00007563-1,Nanog,51.06,-0.797,6.266,0,141.405,0,0,362,0,0,6,4,9.5748,-0.326,-0.420634135,0.0282,1,1,Nanog,Nanog homeobox
Z00024251-1,Inpp5d,25.83,-0.797,6.266,0,129.716,0,0,-12049,0,0,2,1,2.556,0,-0.351408434,0.3533,2,0,Inpp5d,inositol polyphosphate-5-phosphatase D
Z00030889-1,B020011L13Rik,8.46,-0.797,6.266,0,58.693,0,0,0,0,0,0,0,0,0,0,1,0,0,B020011L13Rik,RIKEN cDNA B020011L13 gene
Z00005262-1,Epha2,12.53,-0.796,6.251,0,50.811,0,0,-11005,0,0,2,1,2.61,0,-0.49137811,0.313,0,0,Epha2,Eph receptor A2
Z00030490-1,Tuba3,39.79,-0.796,6.251,0,125.49,0,0,7410,0,0,2,0,1.6387,0,0,0.4521,0,0,Tuba3,"tubulin, alpha 3"
Z00026161-1,Mup4,13.56,-0.795,6.237,0,115.732,0,0,-3101,0,0,2,9,7.7293,0,0,0.0649,1,0,Mup4,major urinary protein 4
Z00023872-1,Foxd3,2.35,-0.794,6.223,0,86.563,0,0,-19914,0,0,4,24,8.894,0,-0.373878367,0.0407,1,1,Foxd3,forkhead box D3
Z00024607-1,Pla2g10,28.7,-0.79,6.165,0,174.254,0,0,-2551,0,0,2,0,2.0913,-0.393,-0.515992295,0.3808,0,0,Pla2g10,"phospholipase A2, group X"
Z00013009-1,Slc39a4,19.6,-0.786,6.109,0,148.968,0,0,636,0,0,3,1,5.2401,0,0,0.1314,1,0,Slc39a4,"solute carrier family 39 (zinc transporter), member 4"
Z00008889-1,Eml2,0.67,-0.785,6.095,1,63.051,0,0,-289,1,0,1,2,3.5526,0,0.312163229,0.2663,0,0,Eml2,echinoderm microtubule associated protein like 2
Z00026220-1,2310043M15Rik,11.26,-0.782,6.053,0,158.836,0,0,0,0,0,0,0,0,0,0,1,0,0,2310043M15Rik,RIKEN cDNA 2310043M15 gene
Z00006492-1,Cdca7,28.49,-0.779,6.011,0,114.306,0,0,40040,0,0,5,5,4.2162,0,-0.323428027,0.2089,2,0,Cdca7,cell division cycle associated 7
Z00006598-1,Lama1,10.68,-0.77,5.888,0,114.383,0,0,-4816,0,0,0,3,2.6278,0,-0.546253666,0.266,0,0,Lama1,"laminin, alpha 1"
Z00020839-1,Nmnat2,13.28,-0.768,5.861,0,79.749,0,0,6257,0,0,4,3,5.0969,0,-0.26476124,0.1384,1,0,Nmnat2,nicotinamide nucleotide adenylyltransferase 2
Z00011298-1,Col18a1,52.04,-0.767,5.847,0,122.105,0,0,-40035,0,0,4,4,3.6643,0,0,0.273,0,0,Col18a1,"procollagen, type XVIII, alpha 1"
Z00013525-1,Rbpms2,33.49,-0.758,5.727,0,28.098,0,0,-37,1,0,2,3,5.2974,-0.246,-0.466015129,0.148,1,0,Rbpms2,RNA binding protein with multiple splicing 2
Z00035959-1,Akr1b3,13.57,-0.757,5.714,0,73.49,0,0,-26888,0,0,8,6,5.6295,0,-0.551728062,0.1218,1,0,Akr1b3,"aldo-keto reductase family 1, member B3 (aldose reductase)"
Z00031959-1,Isyna1,32.25,-0.756,5.701,0,39.731,0,0,-36151,0,0,0,2,1.2982,0,-0.368256255,0.508,0,0,Isyna1,myo-inositol 1-phosphate synthase A1
Z00014965-1,Tle4,25.63,-0.755,5.688,0,108.085,0,0,-57894,0,0,1,9,3.6261,-0.497,-0.40945084,0.2416,2,1,Tle4,"transducin-like enhancer of split 4, homolog of Drosophila E(spl)"
Z00009495-1,Spp1,35.38,-0.753,5.662,0,81.265,0,0,-844,0,0,3,2,6.2609,-0.404,-0.393890133,0.1115,1,0,Spp1,secreted phosphoprotein 1
Z00026571-1,C030013E06Rik,7.6,-0.749,5.61,0,104.668,0,0,-9409,0,1,4,5,5.4655,0,-0.26129962,0.1139,1,0,C030013E06Rik,RIKEN cDNA C030013E06 gene
Z00057776-1,Gm555,9.28,-0.745,5.559,0,64.483,0,0,0,0,0,0,0,0,0,0,1,0,0,Gm555,"gene model 555, (NCBI)"
Z00001428-1,Pml,21.25,-0.74,5.495,0,94.168,0,0,27561,0,0,7,0,2.6441,-0.31,-0.335248888,0.313,0,1,Pml,promyelocytic leukemia
Z00010249-1,2410081M15Rik,14.44,-0.74,5.495,0,131.49,0,0,-8463,0,0,2,0,1.5904,-0.456,-0.814915938,0.4543,0,0,2410081M15Rik,RIKEN cDNA 2410081M15 gene
Z00030378-1,Dppa2,55.28,-0.739,5.482,0,57.523,0,0,-75,0,0,1,3,5.4472,0,0,0.1972,1,0,Dppa2,developmental pluripotency associated 2
Z00040673-1,BC032203,4.81,-0.732,5.395,0,81.382,0,0,18979,0,0,1,8,4.4117,0,-0.434388075,0.133,1,0,BC032203,cDNA sequence BC032203
Z00034455-1,Trh,16.47,-0.731,5.382,0,136.477,0,0,-2396,0,0,6,0,4.1809,-0.585,-1.095622782,0.1946,1,0,Trh,thyrotropin releasing hormone
Z00035984-1,Csrp2,16.9,-0.73,5.37,0,80.149,0,0,-4238,0,0,2,0,1.8639,0,-0.438162765,0.3955,0,0,Csrp2,cysteine and glycine-rich protein 2
Z00071921-1,OTTMUSG00000010673,10.58,-0.73,5.37,0,28.205,0,0,0,0,0,0,0,0,0,0,1,0,0,OTTMUSG00000010673,"predicted gene, OTTMUSG00000010673"
Z00035615-1,Cobl,6.3,-0.728,5.345,0,62.001,0,0,-4596,0,1,2,6,5.9245,-0.48,-0.49101847,0.1084,1,0,Cobl,cordon-bleu
Z00003976-1,D10627,30.33,-0.725,5.308,0,34.174,0,0,-46357,0,0,1,2,1.9446,-0.661,-0.397484236,0.396,0,0,D10627,cDNA sequence D10627
Z00012218-1,Aes,25.7,-0.724,5.296,0,62.386,0,0,-3194,0,0,2,0,1.9906,-0.464,-0.298283925,0.392,0,1,Aes,amino-terminal enhancer of split
Z00024698-1,Tcfap4,23.06,-0.723,5.284,0,105.841,0,0,-910,1,0,1,2,3.5696,0,-0.279234747,0.2456,0,1,Tcfap4,transcription factor AP4
Z00028404-1,LOC628133,10,-0.722,5.272,0,86.761,0,0,0,0,0,0,0,0,0,0,1,0,0,LOC628133,hypothetical protein LOC628133
Z00031952-1,Ifitm1,24.75,-0.721,5.26,0,126.888,0,0,-4719,0,0,1,10,6.7035,-0.308,-0.911398144,0.1035,1,0,Ifitm1,interferon induced transmembrane protein 1
Z00027744-1,Myo1f,9.18,-0.718,5.223,0,106.058,0,0,47583,0,0,0,9,3.092,0,-0.271930465,0.2038,2,0,Myo1f,myosin IF
Z00068071-1,Nfatc2ip,8.83,-0.718,5.223,0,99.574,0,0,4144,0,1,6,8,8.6249,0,-0.271047589,0.0434,1,1,Nfatc2ip,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein"
Z00007127-1,Gsr,21.1,-0.717,5.211,0,83.351,0,0,1098,0,0,0,8,6.7541,-0.287,0,0.0867,1,0,Gsr,glutathione reductase 1
Z00020446-1,Nfib,47.42,-0.717,5.211,0,19.182,0,0,67853,0,0,5,17,5.9644,0,0,0.1528,1,1,Nfib,nuclear factor I/B
Z00003765-1,AK141205,5.44,-0.716,5.199,0,104.698,0,0,0,0,0,0,0,0,0,0,1,0,0,AK141205,RIKEN cDNA 1110032A13 gene
Z00025210-1,Manba,14.46,-0.713,5.164,0,48.493,0,0,31220,0,0,6,18,7.5619,-0.413,-0.473167256,0.0649,1,0,Manba,"mannosidase, beta A, lysosomal"
Z00028408-1,C330013F16Rik,13.17,-0.713,5.164,0,122.88,0,0,-45384,0,0,0,2,1.235,0,0,0.543,0,0,C330013F16Rik,RIKEN cDNA C330013F16 gene
Z00034742-1,Lamc1,9.47,-0.713,5.164,0,21.135,0,0,-1289,1,0,2,1,3.1839,0,-0.1787045,0.2038,2,0,Lamc1,"laminin, gamma 1"
Z00017467-1,Utp14a,14.3,-0.712,5.152,0,59.529,0,0,4859,0,0,2,0,1.8037,0,-0.413246332,0.4039,0,0,Utp14a,"UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)"
Z00018686-1,Rhd,41.37,-0.712,5.152,0,120.24,0,0,-8046,0,0,0,8,4.3033,0,0,0.2352,0,0,Rhd,"Rh blood group, D antigen"
Z00063182-1,Impa2,35.53,-0.712,5.152,0,104.676,0,0,-29753,0,0,2,17,6.2971,0,-0.194310287,0.1115,1,0,Impa2,inositol (myo)-1(or 4)-monophosphatase 2
Z00005912-1,2410015N17Rik,35.08,-0.711,5.14,0,87.163,0,0,16425,1,0,0,2,0.5136,0,-0.406254323,0.8625,0,0,2410015N17Rik,RIKEN cDNA 2410015N17 gene
Z00007535-1,Fancm,23.91,-0.71,5.128,0,41.266,0,0,39964,0,1,2,21,6.5521,0,0,0.0953,1,0,Fancm,"Fanconi anemia, complementation group M"
Z00034890-1,Nasp,50.44,-0.71,5.128,0,43.898,0,0,0,0,0,0,0,0,0,0,1,0,0,Nasp,nuclear autoantigenic sperm protein (histone-binding)
Z00054764-1,Pold1,26.25,-0.71,5.128,0,105.883,0,0,0,0,0,0,0,0,0,-0.215027336,1,0,0,Pold1,"polymerase (DNA directed), delta 1, catalytic subunit"
Z00001394-1,Zfp423,18.3,-0.708,5.105,0,91.098,0,0,5784,0,0,2,2,3.7144,-0.555,-0.564965239,0.2336,0,0,Zfp423,zinc finger protein 423
Z00016730-1,Abcc4,37.31,-0.705,5.069,0,101.981,0,0,-3440,0,0,1,3,4.1072,-0.461,-0.360607941,0.2352,0,0,Abcc4,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"
Z00003534-1,BC063263,8.78,-0.704,5.058,0,19.209,0,0,-55086,0,0,2,0,1.0412,0,0,0.6203,0,0,BC063263,cDNA sequence BC063263
Z00007161-1,Msc,19.96,-0.704,5.058,0,97.915,0,0,13089,0,1,2,8,5.3184,-1.104,-0.241071157,0.1314,1,1,Msc,musculin
Z00007361-1,E130014J05Rik,4.01,-0.702,5.035,0,68.419,0,0,-45798,0,0,4,29,8.0702,0,-0.462893945,0.0519,1,0,E130014J05Rik,RIKEN cDNA E130014J05 gene
Z00030678-1,Vegfc,4.97,-0.702,5.035,0,91.716,0,0,-1647,0,1,5,3,7.4173,0,-0.580516298,0.0598,1,0,Vegfc,vascular endothelial growth factor C
Z00024955-1,Capn3,8.96,-0.699,5,0,52.051,0,0,3093,0,1,2,0,2.0051,-0.298,-0.320803934,0.3602,0,0,Capn3,calpain 3
Z00010862-1,Jarid2,20.3,-0.698,4.988,0,74.953,0,0,-24413,0,0,17,21,10.6853,-0.433,-0.252381486,0.0203,1,1,Jarid2,"jumonji, AT rich interactive domain 2"
Z00013986-1,Cyp11a1,7.23,-0.698,4.988,0,37.149,0,0,-121,0,0,2,0,2.592,0,-0.296792878,0.2686,0,0,Cyp11a1,"cytochrome P450, family 11, subfamily a, polypeptide 1"
Z00026346-1,Spats1,14.5,-0.698,4.988,0,95.022,0,0,18190,0,0,3,3,3.6535,0,-0.275587452,0.2392,0,0,Spats1,"spermatogenesis associated, serine-rich 1"
Z00018588-1,Hirip3,19.75,-0.697,4.977,0,99.589,0,0,15,1,0,3,0,2.2764,0,0,0.3385,0,0,Hirip3,HIRA interacting protein 3
Z00019770-1,Mid1ip1,30.57,-0.697,4.977,0,129.228,0,0,0,0,0,0,0,0,0,-0.594237862,1,0,0,Mid1ip1,Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))
Z00025925-1,Klk1,16.07,-0.697,4.977,0,126.484,0,0,1889,0,0,0,2,2.5369,0,0,0.314,0,0,Klk1,kallikrein 1
Z00024715-1,Fbxo5,36.54,-0.694,4.943,0,70.076,0,0,-752,1,0,4,2,5.8439,0,-0.415884378,0.1528,1,0,Fbxo5,F-box protein 5
Z00044265-1,Adam23,13.38,-0.694,4.943,0,118.368,0,0,-3418,0,1,1,6,5.6232,0,-0.33733918,0.1218,1,0,Adam23,a disintegrin and metallopeptidase domain 23
Z00005303-1,Gli1,54.45,-0.691,4.909,0,127.054,0,0,101,1,0,3,0,2.2527,0,-0.250477788,0.3825,0,1,Gli1,GLI-Kruppel family member GLI1
Z00009143-1,D630045M09Rik,19.34,-0.69,4.897,0,140.727,0,0,0,0,0,0,0,0,0,0,1,0,0,D630045M09Rik,RIKEN cDNA D630045M09 gene
Z00036413-1,1300013J15Rik,8.63,-0.689,4.886,0,96.3,0,0,3634,0,0,2,1,3.3512,0,-0.627667484,0.1942,1,0,1300013J15Rik,RIKEN cDNA 1300013J15 gene
Z00072953-1,L1Md-Tf29,16.06,-0.688,4.875,0,76.318,0,0,0,0,0,0,0,0,0,0,1,0,0,L1Md-Tf29,"L1 repeat, Tf subfamily, member 29"
Z00022370-1,Sept1,14.54,-0.687,4.864,0,110.534,0,0,-6702,0,1,1,12,6.8606,0,0,0.0861,1,0,Sept1,septin 1
Z00030750-1,Atf7ip,15.08,-0.686,4.852,0,96.745,0,0,36893,0,0,2,2,2.4407,0,-0.352826692,0.3297,0,1,Atf7ip,activating transcription factor 7 interacting protein
Z00015343-1,Lrmp,20.48,-0.681,4.797,0,105.111,0,0,652,0,0,0,2,2.9501,0,0,0.2934,0,0,Lrmp,lymphoid-restricted membrane protein
Z00051298-1,Zfp459,15.06,-0.681,4.797,0,27.839,0,0,588,0,0,3,1,5.2404,0,0,0.1314,1,1,Zfp459,zinc finger protein 459
Z00009959-1,D1pas1,15.3,-0.68,4.786,0,55.75,0,0,-477,1,0,3,0,2.2597,0,-0.312103309,0.3385,0,0,D1pas1,
Z00034851-1,Ndp52,61.76,-0.68,4.786,0,41.639,0,0,-3408,0,0,2,6,6.3254,0.452,0,0.1359,1,0,Ndp52,nuclear domain 10 protein 52
Z00021485-1,Hap1,17.55,-0.675,4.731,0,65.923,0,0,-6869,0,0,1,2,2.9802,0,0,0.2934,0,0,Hap1,huntingtin-associated protein 1
Z00035537-1,8430410A17Rik,8.22,-0.668,4.655,0,88.566,0,0,-661,0,0,0,4,4.5231,-0.338,-0.399464727,0.133,1,0,8430410A17Rik,RIKEN cDNA 8430410A17 gene
Z00030462-1,Ldhb,62.7,-0.667,4.645,0,68.958,0,0,440,1,0,0,3,2.7,0,0,0.3383,0,0,Ldhb,lactate dehydrogenase B
Z00033207-1,Hist1h2ab,37.69,-0.667,4.645,0,58.342,0,0,0,0,0,0,0,0,0,0,1,0,0,Hist1h2ab,"histone cluster 1, H2ab"
Z00016375-1,Tmem64,21.76,-0.666,4.634,0,93.484,0,0,-21410,0,0,0,12,4.4042,0,0,0.1775,1,0,Tmem64,transmembrane protein 64
Z00039681-1,Wdr40b,9.07,-0.666,4.634,0,63.352,0,0,107742,0,1,2,0,0.8944,0,-0.177951955,0.6809,0,0,Wdr40b,WD repeat domain 40B
Z00004999-1,2810410M20Rik,19.31,-0.661,4.581,0,83.848,0,0,89,1,0,3,1,4.1773,0,-0.496741757,0.1946,1,0,2810410M20Rik,RIKEN cDNA 2810410M20 gene
Z00001928-1,Gfpt2,12.63,-0.657,4.539,0,77.866,0,0,-54505,0,0,1,13,4.4295,-0.523,0,0.1775,1,0,Gfpt2,glutamine fructose-6-phosphate transaminase 2
Z00030830-1,AF067063,78.13,-0.657,4.539,0,93.992,0,0,0,0,0,0,0,0,0,0.34144264,1,0,0,AF067063,cDNA sequence AF067063
Z00024802-1,Ltbp4,10.23,-0.655,4.518,0,40.705,0,0,46018,0,0,2,0,1.0858,0,-0.523115116,0.6047,0,0,Ltbp4,latent transforming growth factor beta binding protein 4
