"Table S12. Combined tentative target genes (TTGs) of Pou5f1, Sox2, and Nanog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Features of OCT4/NANOG binding site,,,,,,Logratio of gene expression in lineage committed cells compared to ES*,,,,,,,,,,,,,,,,,,,,,,,,,,
2200001I15Rik,1,0,1,-0.52,-0.509,-0.26535,14.66,52.08,NA,-1,3,0,1722,0,0,3,1,4.6093,-1.06048,-0.6621,No data,-0.8012,Down-regulated,Yes,2200001I15Rik,RIKEN cDNA 2200001I15 gene,,,,,,,,,,,,,,,,,,,
2310003C23Rik,1,0,0,-0.335,0,0,10.72,NA,NA,-1,0,0,14559,0,0,2,7,4.8603,0,-0.3285,No data,-0.2348,Down-regulated,Yes,2310003C23Rik,RIKEN cDNA 2310003C23 gene,,,,,,,,,,,,,,,,,,,
2310004I24Rik,0,0,1,-0.429,-0.179,-0.187,20.2,94.74,79.85,-1,3,0,34535,0,0,6,2,3.5846,0,0,0,-0.1825,Down-regulated,Yes,2310004I24Rik,RIKEN cDNA 2310004I24 gene,,,,,,,,,,,,,,,,,,,
2310044G17Rik,1,1,0,-0.374,-0.355,0,19.41,20.19,NA,-1,1,0,-14456,0,1,4,6,5.3242,-0.26283,0.365,0.4435,0,Mixed,No,2310044G17Rik,RIKEN cDNA 2310044G17 gene,,,,,,,,,,,,,,,,,,,
2410024N13Rik,1,0,0,-0.215,0,0,18.9,NA,NA,-1,0,0,11071,0,1,8,11,8.3814,0,-0.6209,No data,-0.5641,Down-regulated,Yes,2410024N13Rik,RIKEN cDNA 2410024N13 gene,,,,,,,,,,,,,,,,,,,
2410146L05Rik,1,1,1,-1.397,-0.575,-0.309827116,14.23,44.15,NA,-1,3,0,3636,0,1,2,20,10.9679,-1.39722,-1.3987,-1.1881,-1.4211,Down-regulated,Yes,2410146L05Rik,RIKEN cDNA 2410146L05 gene,,,,,,,,,,,,,,,,,,,
2610042L04Rik,1,1,0,0.319,-0.209,0,53.73,20.72,NA,1,0,1,-550,0,0,8,11,5.5478,-0.3985,-0.2985,-0.4837,-0.2106,Down-regulated,No,2610042L04Rik,RIKEN cDNA 2610042L04 gene,,,,,,,,,,,,,,,,,,,
2700081O15Rik,0,0,1,-0.251,0,-0.233,58.38,NA,59.17,-1,1,0,-23726,0,0,1,3,2.6588,-0.3004,0.4355,0.5311,0.1821,Mixed,No,2700081O15Rik,RIKEN cDNA 2700081O15 gene,,,,,,,,,,,,,,,,,,,
2810003C17Rik,1,0,0,0.242,0,0.293,57.74,NA,66.02,1,1,0,520,0,0,2,1,2.8956,0,0.3143,0.2723,0,Up-regulated,Yes,2810003C17Rik,RIKEN cDNA 2810003C17 gene,,,,,,,,,,,,,,,,,,,
2810410M20Rik,1,0,0,-0.661,-0.518,0,19.31,29.21,NA,-1,1,0,89,1,0,3,1,4.1773,-0.3922,-0.402,-0.561,-0.536,Down-regulated,Yes,2810410M20Rik,RIKEN cDNA 2810410M20 gene,,,,,,,,,,,,,,,,,,,
4921513D23Rik,1,0,0,-0.424,0,0,2.07,NA,NA,-1,0,0,14458,0,0,7,4,5.505,0,0,0,-0.3868,Down-regulated,Yes,4921513D23Rik,"Mus musculus 13 days embryo lung cDNA, RIKEN full-length enriched library, clone:D430039K03 product:unclassifiable, full insert sequence",,,,,,,,,,,,,,,,,,,
4930405N21Rik,1,0,0,-0.329,0,0,20.81,NA,NA,-1,0,0,-8504,0,0,1,10,5.9402,-0.40059,-0.7998,-0.4087,-0.8157,Down-regulated,Yes,4930405N21Rik,RIKEN cDNA 4930405N21 gene,,,,,,,,,,,,,,,,,,,
4930431J08Rik,0,1,0,-0.281,-0.339,0,5.94,20.97,NA,-1,1,0,-29631,0,0,1,6,3.459,-0.24265,-0.3653,No data,-0.2477,Down-regulated,Yes,4930431J08Rik,RIKEN cDNA 4930431J08 gene,,,,,,,,,,,,,,,,,,,
4930434E21Rik,0,1,0,-0.21,-0.988,0,22.44,30.22,NA,-1,1,0,15926,1,1,11,3,4.8923,-0.30589,-0.633,No data,-0.5426,Down-regulated,Yes,4930434E21Rik,RIKEN cDNA 4930434E21 gene,,,,,,,,,,,,,,,,,,,
4930558O21Rik,0,1,0,-0.26,-0.646,0,18.68,32.5,NA,-1,1,0,733,0,0,0,3,3.7626,-1.02941,-0.3554,No data,-0.3282,Down-regulated,Yes,4930558O21Rik,RIKEN cDNA 4930558O21 gene,,,,,,,,,,,,,,,,,,,
4932441K18Rik,1,1,0,-0.478,-0.318,0,23.27,50.67,NA,-1,1,0,-3032,0,0,2,6,6.4567,-0.3237,-0.3634,0,-0.3906,Down-regulated,Yes,4932441K18Rik,RIKEN cDNA 4932441K18 gene,,,,,,,,,,,,,,,,,,,
4933403G14Rik,1,0,0,0.178,0,0,11.89,NA,NA,1,0,0,-3656,0,0,4,9,4.1681,-0.34075,0,No data,0,Down-regulated,No,4933403G14Rik,RIKEN cDNA 4933403G14 gene,,,,,,,,,,,,,,,,,,,
4933405K07Rik,1,1,1,-0.651,-0.885,-0.429,10.92,17.43,31.69,-1,3,0,1095,0,0,1,2,4.5363,No data,No data,No data,No data,No data,No,4933405K07Rik,RIKEN cDNA 4933405K07 gene,,,,,,,,,,,,,,,,,,,
4933437F05Rik,0,0,1,-0.271,-0.488,-0.219,20.03,57.36,75.05,-1,3,0,-1620,0,0,0,2,2.6273,-0.78401,-0.83,No data,-0.8612,Down-regulated,Yes,4933437F05Rik,RIKEN cDNA 4933437F05 gene,,,,,,,,,,,,,,,,,,,
5730590G19Rik,1,1,0,-0.544,-0.344,0,28.22,44.04,NA,-1,1,0,-4891,0,1,1,10,6.6829,-0.2022,-0.2074,-0.214,-0.2913,Down-regulated,Yes,5730590G19Rik,RIKEN cDNA 5730590G19 gene,,,,,,,,,,,,,,,,,,,
6030408C04Rik,0,0,1,-0.304,0,-0.349436943,63.63,NA,NA,-1,1,0,1537,0,0,3,1,4.7423,-0.26347,0.3959,0,-0.3451,Mixed,No,6030408C04Rik,RIKEN cDNA 6030408C04 gene,,,,,,,,,,,,,,,,,,,
6030490I01Rik,0,0,1,-0.188,-0.181,-0.314138287,22.54,91.68,NA,-1,3,0,71825,0,0,5,7,4.1208,-0.39662,0,No data,-0.211,Down-regulated,Yes,6030490I01Rik,RIKEN cDNA 6030490I01 gene,,,,,,,,,,,,,,,,,,,
6430527G18Rik,0,0,1,-0.23,0,-0.539,19.11,NA,9.13,-1,1,0,-299,1,0,2,3,5.2823,0,0,No data,0,No change,No,6430527G18Rik,RIKEN cDNA 6430527G18 gene,,,,,,,,,,,,,,,,,,,
6820424L24Rik,1,0,0,-0.337,-0.264,0,27.59,66.26,NA,-1,1,0,-13214,0,1,4,6,5.415,0,-0.3478,-0.5454,-0.2645,Down-regulated,Yes,6820424L24Rik,RIKEN cDNA 6820424L24 gene,,,,,,,,,,,,,,,,,,,
7420416P09Rik,1,0,0,-0.324,0.208,0,16.53,10.23,NA,-1,0,1,-109,1,0,7,0,4.5224,-0.5552,-1.1685,-0.5721,-1.1935,Down-regulated,Yes,7420416P09Rik,RIKEN cDNA 7420416P09 gene,,,,,,,,,,,,,,,,,,,
8430410A17Rik,1,1,1,-0.668,-0.673,-0.231,8.22,13.23,67.54,-1,3,0,-661,0,0,0,4,4.5231,-0.3764,-0.8097,-0.7984,-0.6676,Down-regulated,Yes,8430410A17Rik,RIKEN cDNA 8430410A17 gene,,,,,,,,,,,,,,,,,,,
8430427H17Rik,0,1,0,0.196,0.291,0,20.99,9.93,NA,1,1,0,73420,0,1,6,3,2.6765,0.26257,0.604,0.4197,0,Up-regulated,Yes,8430427H17Rik,RIKEN cDNA 8430427H17 gene,,,,,,,,,,,,,,,,,,,
9030025P20Rik,1,0,0,0.318,0.767,0,67.25,29.5,NA,1,1,0,11652,0,0,10,8,4.1938,0.35789,0.2391,0.3361,-0.1768,Mixed,No,9030025P20Rik,"Mus musculus adult male liver tumor cDNA, RIKEN full-length enriched library, clone:C730016N02 product:unclassifiable, full insert sequence",,,,,,,,,,,,,,,,,,,
A130092J06Rik,0,0,1,-0.302,0,-0.335,30.85,NA,57.55,-1,1,0,3674,0,0,3,0,2.4633,-0.27166,0,-0.179,-0.2081,Down-regulated,Yes,A130092J06Rik,RIKEN cDNA A130092J06 gene,,,,,,,,,,,,,,,,,,,
A2m,0,0,1,-1.026,-0.504,-0.725548215,24.16,11.73,15.39,-1,3,0,943,1,0,5,0,3.4824,-0.37206,1.4875,2.0812,-0.3287,Mixed,No,A2m,alpha-2-macroglobulin,,,,,,,,,,,,,,,,,,,
A830073O21Rik,0,1,0,-0.304,-0.314,0,15.04,16,NA,-1,1,0,-10586,0,0,3,1,3.0632,-0.3576,0.7224,0.8539,0.2686,Mixed,No,A830073O21Rik,RIKEN cDNA A830073O21 gene,,,,,,,,,,,,,,,,,,,
A930007A09Rik,1,0,1,-0.227,0,-0.228366667,23.46,NA,NA,-1,1,0,-4852,1,0,6,42,15.8723,0,-0.2381,-0.2257,0,Down-regulated,Yes,A930007A09Rik,RIKEN cDNA A930007A09 gene,,,,,,,,,,,,,,,,,,,
A930011O12Rik,1,0,0,-0.516,0.311,0,12.5,6.51,NA,-1,0,1,2082,1,0,4,4,6.0926,-1.08744,-0.3211,-0.3763,-0.7858,Down-regulated,Yes,A930011O12Rik,RIKEN cDNA A930011O12 gene,,,,,,,,,,,,,,,,,,,
Aard,1,0,0,-0.65,0,0,20.56,NA,NA,-1,0,0,-30385,0,0,2,8,4.3521,0.7345,-0.1837,0,-0.3062,Mixed,No,Aard,alanine and arginine rich domain containing protein,,,,,,,,,,,,,,,,,,,
Abcb1b,1,0,1,-0.315,-0.284,0.48952655,18.91,53,NA,-1,1,2,14,0,0,1,4,6.1771,0,-0.7821,-0.8411,0,Down-regulated,Yes,Abcb1b,"ATP-binding cassette, sub-family B (MDR/TAP), member 1B",,,,,,,,,,,,,,,,,,,
Acot9,1,0,0,-0.469,0,0,11.67,NA,NA,-1,0,0,145,1,0,4,2,5.8266,0,-0.9854,-0.9006,0.3111,Mixed,No,Acot9,acyl-CoA thioesterase 9,,,,,,,,,,,,,,,,,,,
Acoxl,1,0,0,-0.476,0,0,11.82,NA,NA,-1,0,0,772,0,0,4,0,3.9594,0,0,No data,0,No change,No,Acoxl,acyl-Coenzyme A oxidase-like,,,,,,,,,,,,,,,,,,,
Acp6,1,0,1,-0.652,0,-0.392,13.91,NA,23.22,-1,1,0,792,1,0,4,1,4.7907,-0.3656,-0.4891,-0.5611,-0.3574,Down-regulated,Yes,Acp6,"acid phosphatase 6, lysophosphatidic",,,,,,,,,,,,,,,,,,,
Actl6a,0,0,1,-0.373,-0.25,-0.275,59.34,72.25,32.81,-1,3,0,-536,0,0,0,2,2.9307,-0.4972,-0.3691,-0.6934,-0.5286,Down-regulated,Yes,Actl6a,actin-like 6A,,,,,,,,,,,,,,,,,,,
Actn3,0,0,1,-0.357,0,-0.49996627,26.44,NA,NA,-1,1,0,1492,0,0,4,0,3.6233,-0.83489,-0.5741,-0.3999,-0.3958,Down-regulated,Yes,Actn3,actinin alpha 3,,,,,,,,,,,,,,,,,,,
Acyp2,0,1,0,-0.313,-0.79,0.328359004,43.52,25.9,NA,-1,1,2,157456,0,1,3,8,3.2393,-0.5499,0.5781,0.7416,0.5693,Mixed,No,Acyp2,"acylphosphatase 2, muscle type",,,,,,,,,,,,,,,,,,,
Ada,0,1,0,-0.229,-0.338,0.322,21.54,15.04,19.84,-1,1,2,-27050,0,0,0,6,2.733,0.2387,-0.5663,-0.7178,0,Mixed,No,Ada,adenosine deaminase,,,,,,,,,,,,,,,,,,,
Adam23,1,0,1,-0.694,-0.536,-0.261082111,13.38,37.16,NA,-1,3,0,-3418,0,1,1,6,5.6232,-1.18109,-0.4724,-0.1941,0,Down-regulated,Yes,Adam23,a disintegrin and metallopeptidase domain 23,,,,,,,,,,,,,,,,,,,
Add2,0,0,1,0,0.41,-0.364,NA,51.03,59.89,1,0,1,50622,0,0,0,4,1.348,0,0.69,0.633,0,Up-regulated,No,Add2,adducin 2 (beta),,,,,,,,,,,,,,,,,,,
Adrb3,0,0,1,0,0,0.291167832,NA,NA,NA,1,0,0,-12519,0,0,6,12,4.1098,0,0,0,0,No change,No,Adrb3,"adrenergic receptor, beta 3",,,,,,,,,,,,,,,,,,,
Agtrap,1,0,0,-0.331,0,0,51.23,NA,NA,-1,0,0,312,0,0,2,1,4.4941,-0.4846,-0.8403,-0.565,0,Down-regulated,Yes,Agtrap,"angiotensin II, type I receptor-associated protein",,,,,,,,,,,,,,,,,,,
AI450540,1,0,0,0.29,0,0,11.44,NA,NA,1,0,0,5567,0,0,1,6,3.0297,0,0,No data,0,No change,No,AI450540,expressed sequence AI450540,,,,,,,,,,,,,,,,,,,
Aire,1,0,0,-0.94,-0.592,-0.335783333,8.88,27.21,NA,-1,3,0,1758,0,0,2,1,3.9527,-0.40281,-1.4308,-0.6998,-1.5753,Down-regulated,Yes,Aire,autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy),,,,,,,,,,,,,,,,,,,
Ak3,1,0,0,0.478,0.18,0,60.5,94.02,NA,1,1,0,39584,0,0,5,26,4.1583,0,0.3972,0.6478,0.3567,Up-regulated,Yes,Ak3,adenylate kinase 3,,,,,,,,,,,,,,,,,,,
Ak7,1,1,0,-0.631,-0.528,0,15.64,30.84,NA,-1,1,0,1418,0,0,0,4,4.1425,-0.35892,-0.8416,-0.3646,-0.8444,Down-regulated,Yes,Ak7,adenylate kinase 7,,,,,,,,,,,,,,,,,,,
Akap12,0,0,1,-0.182,0,-0.305,69.4,NA,16.58,-1,1,0,23383,0,1,8,10,6.8416,-0.5615,-0.247,-0.9483,0,Down-regulated,Yes,Akap12,A kinase (PRKA) anchor protein (gravin) 12,,,,,,,,,,,,,,,,,,,
Akap2,1,1,0,0.901,-0.263,0,53.93,19.68,NA,1,0,1,-2855,0,0,2,15,4.3556,0.36335,0,-0.3635,0.3908,Mixed,No,Akap2,A kinase (PRKA) anchor protein 2,,,,,,,,,,,,,,,,,,,
Akp2,1,0,0,-0.349,0,0,60.82,NA,NA,-1,0,0,6682,0,0,0,4,2.9218,-0.5607,-1.2373,-1.274,0,Down-regulated,Yes,Akp2,"alkaline phosphatase 2, liver",,,,,,,,,,,,,,,,,,,
Akr1b3,1,1,0,-0.757,-0.438,0,13.57,25.18,NA,-1,1,0,-26888,0,0,8,6,5.6295,-0.6299,-0.5053,-0.4919,-0.2047,Down-regulated,Yes,Akr1b3,"aldo-keto reductase family 1, member B3 (aldose reductase)",,,,,,,,,,,,,,,,,,,
Akr1b8,0,0,1,0,0,0.261760031,NA,NA,NA,1,0,0,-9780,0,0,8,6,3.9128,0,-0.2108,No data,0.1781,Mixed,No,Akr1b8,"aldo-keto reductase family 1, member B8",,,,,,,,,,,,,,,,,,,
Aldoc,0,0,1,0,-0.198,-0.484377552,NA,26.79,NA,-1,1,0,-120,1,0,1,2,3.5526,0.2154,0.7202,1.0136,-0.3273,Mixed,No,Aldoc,"aldolase 3, C isoform",,,,,,,,,,,,,,,,,,,
Alg13,0,1,0,-0.184,-0.617,0,63.1,23.45,NA,-1,1,0,19861,0,0,2,6,4.2433,-0.41002,-0.8169,0,-1.2692,Down-regulated,Yes,Alg13,asparagine-linked glycosylation 13 homolog (S. cerevisiae),,,,,,,,,,,,,,,,,,,
Alk,0,1,0,0,-0.305,0,NA,19.17,NA,-1,0,0,44986,0,0,0,9,3.1377,0,0.3009,0,0,Up-regulated,No,Alk,anaplastic lymphoma kinase,,,,,,,,,,,,,,,,,,,
Alpk3,0,0,1,-0.244,0,-0.281,55.98,NA,43.24,-1,1,0,-624,0,0,3,1,5.2272,-0.21162,-0.2819,-0.1927,-0.2389,Down-regulated,Yes,Alpk3,alpha-kinase 3,,,,,,,,,,,,,,,,,,,
Amacr,1,0,0,-0.428,0,0,32.32,NA,NA,-1,0,0,-4822,0,0,5,7,7.6431,-0.3144,0,0,0,Down-regulated,Yes,Amacr,alpha-methylacyl-CoA racemase,,,,,,,,,,,,,,,,,,,
Amhr2,1,0,0,-0.438,-0.254,0,24.52,39.61,NA,-1,1,0,2737,0,0,7,0,4.451,-0.74402,-0.7015,-0.6144,-0.6645,Down-regulated,Yes,Amhr2,anti-Mullerian hormone type 2 receptor,,,,,,,,,,,,,,,,,,,
Ampd3,0,0,1,-0.202,0.202,-0.338,97.36,43.25,61.81,-1,1,2,-26647,0,0,1,3,2.5898,0,0.224,1.0028,0,Up-regulated,No,Ampd3,AMP deaminase 3,,,,,,,,,,,,,,,,,,,
Ankrd10,0,0,1,-0.188,-0.243,-0.243,68.82,66.01,54.62,-1,3,0,-5155,0,0,0,5,3.5555,-0.317,-0.3541,-0.3112,-0.3807,Down-regulated,Yes,Ankrd10,ankyrin repeat domain 10,,,,,,,,,,,,,,,,,,,
Ankrd35,0,1,0,-0.261,-0.294,-0.2637,19.18,42.19,NA,-1,3,0,5930,0,0,4,2,4.6034,-0.6596,-1.2341,No data,-1.1274,Down-regulated,Yes,Ankrd35,ankyrin repeat domain 35,,,,,,,,,,,,,,,,,,,
Aox3,1,0,0,-0.538,0.441,0,6.98,9.25,NA,-1,0,1,248,1,0,1,2,3.5477,0,-0.8583,No data,-0.6292,Down-regulated,Yes,Aox3,aldehyde oxidase 3,,,,,,,,,,,,,,,,,,,
Apc2,0,0,1,0,0,-0.194,NA,NA,34.28,-1,0,0,-3466,0,0,1,2,3.4828,0.19315,0,0,0,Up-regulated,No,Apc2,expressed sequence AI852447,,,,,,,,,,,,,,,,,,,
Apobec2,1,0,0,-0.604,0.403,0,22.88,14.52,NA,-1,0,1,-2014,0,0,1,3,4.6345,-0.6246,-0.8735,-0.6718,-0.8482,Down-regulated,Yes,Apobec2,apolipoprotein B editing complex 2,,,,,,,,,,,,,,,,,,,
Apobec3,0,0,1,-0.304,-0.236,-0.411057723,21.63,58.28,16.52,-1,3,0,14526,0,1,0,8,3.7383,0,0,0,-0.2216,Down-regulated,Yes,Apobec3,apolipoprotein B editing complex 3,,,,,,,,,,,,,,,,,,,
Arc,1,0,0,-0.336,-0.197,0,12.76,89.75,NA,-1,1,0,19480,0,0,1,7,4.0972,-0.52327,0.4668,-0.4644,-0.2235,Mixed,No,Arc,activity regulated cytoskeletal-associated protein,,,,,,,,,,,,,,,,,,,
Arid5b,0,1,0,0,-0.325,0,NA,14.53,NA,-1,0,0,-771,0,0,5,12,13.3839,0.28493,-0.4994,-0.6696,0,Mixed,No,Arid5b,AT rich interactive domain 5B (Mrf1 like),,,,,,,,,,,,,,,,,,,
Arl4a,0,1,0,-0.3,-0.305,-0.276,19.71,35.37,63.04,-1,3,0,37230,0,0,1,6,3.2847,-0.7073,0,-0.3789,-0.4114,Down-regulated,Yes,Arl4a,ADP-ribosylation factor-like 4A,,,,,,,,,,,,,,,,,,,
Arl6ip5,0,1,0,0,-0.585,0.190216667,NA,17.64,NA,-1,0,1,-2257,0,0,1,3,4.53,0.251,0.4258,0.1973,0.362,Up-regulated,Yes,Arl6ip5,ADP-ribosylation factor-like 6 interacting protein 5,,,,,,,,,,,,,,,,,,,
Armcx1,0,0,1,-0.243,-0.518,-0.451,70.28,10.78,41.97,-1,3,0,-1636,0,0,2,0,2.3099,-1.0245,-0.3115,0,0,Down-regulated,Yes,Armcx1,"armadillo repeat containing, X-linked 1",,,,,,,,,,,,,,,,,,,
Arrb1,1,0,0,0.418,0.66,0,10.87,11.75,NA,1,1,0,-16454,0,0,3,3,2.8453,0,-0.2104,-0.205,-0.399,Down-regulated,No,Arrb1,"arrestin, beta 1",,,,,,,,,,,,,,,,,,,
Aspa,0,1,0,0,-0.516,0.263298475,NA,21.08,NA,-1,0,1,6092,0,1,0,13,6.1691,0,-0.6884,0,-0.7234,Down-regulated,No,Aspa,aspartoacylase (aminoacylase) 2,,,,,,,,,,,,,,,,,,,
Avpi1,0,0,1,-0.189,-0.188,0.221,5.82,91.96,19.86,-1,1,2,-7735,0,0,4,6,6.1196,0,-0.6178,No data,0,Down-regulated,Yes,Avpi1,arginine vasopressin-induced 1,,,,,,,,,,,,,,,,,,,
B230311B06Rik,1,0,0,-0.293,0,0,38.04,NA,NA,-1,0,0,1294,0,0,3,3,6.6616,0,0.2634,0.6685,-0.2992,Mixed,No,B230311B06Rik,RIKEN cDNA B230311B06 gene,,,,,,,,,,,,,,,,,,,
B630005N14Rik,0,0,1,0.446,0,-0.446312008,70.59,NA,NA,-1,0,1,-70313,0,0,4,2,2.6292,0,0.3267,0,0,Up-regulated,Yes,B630005N14Rik,RIKEN cDNA B630005N14 gene,,,,,,,,,,,,,,,,,,,
Bahcc1,0,0,1,0,0,-0.281,NA,NA,53.39,-1,0,0,872,1,0,1,2,3.5526,0,0,0.2131,0,Up-regulated,No,Bahcc1,cDNA sequence BC060615,,,,,,,,,,,,,,,,,,,
Bat2,1,0,0,-0.325,0,0,1.62,NA,NA,-1,0,0,-2280,1,0,4,2,4.6535,0,0,0,0,No change,No,Bat2,HLA-B associated transcript 2,,,,,,,,,,,,,,,,,,,
BC017133,1,1,0,-0.585,-0.27,0,25.23,38.73,NA,-1,1,0,-62158,0,1,6,11,5.3145,-0.2524,-0.2176,0,-0.1978,Down-regulated,Yes,BC017133,cDNA sequence BC017133,,,,,,,,,,,,,,,,,,,
BC024479,1,0,0,-0.344,0,0,12.68,NA,NA,-1,0,0,-3717,0,0,1,6,5.5187,-0.2274,-0.2252,0,-0.4447,Down-regulated,Yes,BC024479,cDNA sequence BC024479,,,,,,,,,,,,,,,,,,,
BC032203,1,1,1,-0.732,-0.511,-0.358016667,4.81,19.82,44.35,-1,3,0,18979,0,0,1,8,4.4117,-0.27146,-0.717,No data,-0.7113,Down-regulated,Yes,BC032203,cDNA sequence BC032203,,,,,,,,,,,,,,,,,,,
BC034076,1,0,1,-0.306,0.207,-0.285983333,19.97,10.09,NA,-1,1,2,-158,0,1,1,3,5.4274,0.2022,-0.3916,No data,-0.3368,Mixed,No,BC034076,cDNA sequence BC034076,,,,,,,,,,,,,,,,,,,
Bcat1,0,1,0,-0.418,-0.404,0,57.86,17.28,NA,-1,1,0,-12692,0,1,2,5,4.3515,0,-0.2758,-0.4361,0,Down-regulated,Yes,Bcat1,"Mus musculus branched chain aminotransferase 1, cytosolic (Bcat1), transcript variant 2, mRNA",,,,,,,,,,,,,,,,,,,
Bid,0,0,1,-0.428,-0.214,-0.256,19.31,51.73,49.21,-1,3,0,3207,0,0,2,0,1.9798,-0.30167,-0.555,-0.3513,0,Down-regulated,Yes,Bid,BH3 interacting domain death agonist,,,,,,,,,,,,,,,,,,,
Birc2,0,0,1,0,0,-0.277,NA,NA,27.06,-1,0,0,-1058,0,0,0,2,2.8935,-0.2665,-0.3845,-0.3145,-0.332,Down-regulated,Yes,Birc2,baculoviral IAP repeat-containing 2,,,,,,,,,,,,,,,,,,,
Bmf,0,0,1,0,0,-0.308281387,NA,NA,NA,-1,0,0,4000,0,0,0,2,2.1409,0,0,0,0,No change,No,Bmf,Bcl2 modifying factor,,,,,,,,,,,,,,,,,,,
Bmp4,1,1,1,-0.411,-0.239,-0.461,19.58,29.16,13.61,-1,3,0,-1313,0,0,0,7,5.952,0,-0.2746,0,0,Down-regulated,Yes,Bmp4,bone morphogenetic protein 4,,,,,,,,,,,,,,,,,,,
Bnc2,1,1,0,-0.447,-0.411,0,11.8,19.36,NA,-1,1,0,12637,0,0,4,10,6.6946,-0.3072,-0.5338,0,0,Down-regulated,Yes,Bnc2,basonuclin 2,,,,,,,,,,,,,,,,,,,
Bnip3,0,0,1,0,0,-0.525599757,NA,NA,78.42,-1,0,0,-354,1,0,2,0,1.5197,0,0.3033,-0.1927,-0.2283,Mixed,No,Bnip3,"BCL2/adenovirus E1B 19kDa-interacting protein 1, NIP3",,,,,,,,,,,,,,,,,,,
Brd2,0,0,1,0,0,-0.203,NA,NA,29.89,-1,0,0,4076,0,0,1,2,3.3572,0,0.2464,0,0,Up-regulated,No,Brd2,ring finger protein 3,,,,,,,,,,,,,,,,,,,
Brunol4,1,0,0,-0.63,-0.273,0,8.16,46.99,NA,-1,1,0,-61,1,0,2,1,3.4215,-0.2972,-0.6461,-0.5805,0,Down-regulated,Yes,Brunol4,"bruno-like 4, RNA binding protein (Drosophila)",,,,,,,,,,,,,,,,,,,
