,Smgc+_salivary_gland,Intercalated.duct_salivary_gland,Acinar_salivary_gland,Bpifa2+_salivary_gland,Basal.duct_salivary_gland,Striated.duct_salivary_gland,Myoepithelial_salivary_gland,GCT_salivary_gland,Ascl3+.duct_salivary_gland
Sulf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slco5a1,0.0,0.009043832309544086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm5250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm29283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prdm14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ncoa2,0.08093711733818054,0.09979886561632156,0.009465825743973255,0.02241602912545204,0.04996313527226448,0.04563342407345772,0.041788697242736816,0.0,0.2033817172050476
Gm38376,0.006416268181055784,0.007963377051055431,0.0,0.0,0.0,0.006129216402769089,0.024871932342648506,0.0,0.0
Gm37409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm27881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm38223,0.004603252280503511,0.0,0.000386679865187034,0.005427050869911909,0.0,0.0,0.0,0.0,0.0
Gm37702,0.0028914925642311573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm23169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm38120,0.031758058816194534,0.04262249916791916,0.005284453742206097,0.0034555429592728615,0.007832976058125496,0.027028338983654976,0.021030671894550323,0.0,0.030496595427393913
Gm38380,0.0315832756459713,0.021080803126096725,0.0032954441849142313,0.0087754987180233,0.018503211438655853,0.014718744903802872,0.0,0.0,0.03215217590332031
Gm29570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm7593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tram1,0.8478133678436279,0.49885129928588867,0.5632184147834778,0.6419458985328674,0.24938710033893585,0.22210389375686646,0.133649542927742,0.16720770299434662,0.24180062115192413
Lactb2,0.09911239147186279,0.09455808252096176,0.020760171115398407,0.03338322415947914,0.01616654172539711,0.11890478432178497,0.027743440121412277,0.0,0.15001702308654785
Gm38319,0.0035562298726290464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xkr9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm26273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm5523,0.0,0.0,0.0,0.0005562283331528306,0.0,0.0,0.0,0.0,0.0
Gm36947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm25491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eya1,0.0,0.0036944756284356117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm22616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm9947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Msc,0.0,0.0,0.0,0.0,0.020829658955335617,0.0,0.0,0.0,0.0
Gm37412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smt3h2-ps4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rpl5-ps1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trpa1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm26345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm10566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kcnb2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm38116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm25227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm25168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm6060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terf1,0.044040828943252563,0.0628863275051117,0.0069177281111478806,0.006948299705982208,0.07840505987405777,0.019341103732585907,0.06198219209909439,0.0,0.0
Gm37509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sbspon,0.0,0.0,0.0019117830088362098,0.0,0.13947416841983795,0.0,0.2964039742946625,0.0,0.0
Gm23259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm7634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4930444P10Rik,0.0,0.0036944756284356117,0.0,0.0,0.0,0.0,0.027743440121412277,0.0,0.0
Rpl7,2.2391200065612793,2.2718899250030518,0.6640762090682983,0.8491843938827515,2.909684419631958,1.2295820713043213,2.4947965145111084,0.8668942451477051,1.5074762105941772
Rdh10,0.03622082620859146,0.3369576036930084,0.010470758192241192,0.04118052124977112,0.1672700196504593,0.04451693594455719,0.3420202136039734,0.0,0.020607035607099533
Gm38249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stau2,0.046966858208179474,0.09738727658987045,0.01188973244279623,0.010885050520300865,0.1563289314508438,0.11071837693452835,0.0,0.0,0.17514342069625854
Gm7568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ube2w,0.11920923739671707,0.09103763848543167,0.039522916078567505,0.035589225590229034,0.11931558698415756,0.06253834813833237,0.18996265530586243,0.0,0.06814025342464447
Gm38342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tceb1,0.4730834662914276,0.47887977957725525,0.13515731692314148,0.18397532403469086,0.6475223302841187,0.39040887355804443,0.5099866390228271,0.25112777948379517,0.5466529726982117
D030040B21Rik,0.005542573053389788,0.0,0.0,0.001785673783160746,0.013824203982949257,0.0,0.0,0.0,0.0
Gm7654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tmem70,0.13561999797821045,0.24003835022449493,0.03569584712386131,0.09168386459350586,0.1680580973625183,0.1838660091161728,0.13728415966033936,0.0,0.09758338332176208
Ly96,0.035241950303316116,0.02763686515390873,0.007729012053459883,0.009790313430130482,0.015075077302753925,0.0,0.0,0.0,0.06942280381917953
Gm29649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm5828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4921511E07Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jph1,0.009044189937412739,0.0036944756284356117,0.0025621012318879366,0.0,0.016844267025589943,0.0,0.0,0.0,0.0
Gm28783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gdap1,0.0,0.006117354147136211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm5251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rbm6-ps1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm6075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm25166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pi15,0.0,0.0,0.0,0.0,0.0,0.0,0.024123143404722214,0.0,0.0
Gm28154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm16070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crispld1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm7690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm18775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm17969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RP24-571A14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crisp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Defb44-ps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Defb18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Defb41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm17837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm29006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm5252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm24075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm15825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tfap2d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm10075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tfap2b,0.2777341604232788,0.14195704460144043,0.031036777421832085,0.0015308638103306293,0.06691887974739075,0.029909424483776093,0.31846052408218384,0.06196880340576172,0.06367462128400803
Gm28340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm4849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm24633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm38382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pkhd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4930486I03Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm15795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm24162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir133b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Il17a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Il17f,0.0,0.0,0.0,0.0,0.0,0.00783349759876728,0.0,0.0,0.0
Mcm3,0.00783340260386467,0.04874574765563011,0.004512277897447348,0.0018569615203887224,0.09215650707483292,0.014402640052139759,0.023619744926691055,0.0,0.0
Gm20587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm24723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6720483E21Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paqr8,0.0,0.0,0.0,0.0,0.010873840190470219,0.0,0.0,0.0,0.023249132558703423
Gm24171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Efhc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tram2,0.003811443690210581,0.009269525296986103,0.0008596706902608275,0.0,0.03567361459136009,0.00783349759876728,0.044913820922374725,0.0,0.0
Gm28287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm2693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tmem14a,0.045410461723804474,0.007963377051055431,0.002285551279783249,0.0039037917740643024,0.009380233474075794,0.009355820715427399,0.12720470130443573,0.0,0.0
Gm38224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gsta3,0.003841403406113386,0.0559610016644001,0.0030508278869092464,0.03887942060828209,0.03839369863271713,0.04050518199801445,0.021415824070572853,0.0,0.034183990210294724
Gm28836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
